NRO,sukunimi,etunimet,henkilötunnus,tdk (random),osoite,postitoimipaikka,sähköposti,ehdokasnimi,rengas,vaaliliiton järjestys,liitto,ehdokasjärjestys
16,Arohi,Anupam,,B,Testiosoite 15,10014 Helsinki,etunimi.sukunimi.14@example.com,"Arohi, Anupam",Tsemppi Group,1,Tsemppi Group,11
17,Laster,Zachary Howell,,T,Testiosoite 16,10015 Helsinki,etunimi.sukunimi.15@example.com,"Laster, Zach",Tsemppi Group,1,Tsemppi Group,12
18,Diatlova,Anastasia,,L,Testiosoite 17,10016 Helsinki,etunimi.sukunimi.16@example.com,"Diatlova, Nastia",Tsemppi Group,1,Tsemppi Group,13
19,Hossain,Shakhawat,,MM,Testiosoite 18,10017 Helsinki,etunimi.sukunimi.17@example.com,"Hossain, Shakhawat",Tsemppi Group,1,Tsemppi Group,14
20,Strickman,Rachel Jean,,K,Testiosoite 19,10018 Helsinki,etunimi.sukunimi.18@example.com,"Strickman, Rachel",Tsemppi Group,1,Tsemppi Group,15
21,Boldt,Hildur Merja Johanna,,E,Testiosoite 20,10019 Helsinki,etunimi.sukunimi.19@example.com,"Boldt, Hildur",Opiskelijademarit,1,Opiskelijademarit,1
22,Eriksson-Bique,Sylvester Daniel,,H,Testiosoite 21,10020 Helsinki,etunimi.sukunimi.20@example.com,"Eriksson-Bique, Sylvester",Opiskelijademarit,1,Opiskelijademarit,2
23,Erra,Martti Kaipia Johannes,,ML,Testiosoite 22,10021 Helsinki,etunimi.sukunimi.21@example.com,"Erra, Johannes",Opiskelijademarit,1,Opiskelijademarit,3
24,Iso-Lotila,Joona Risti Mikael,,V,Testiosoite 23,10022 Helsinki,etunimi.sukunimi.22@example.com,"Iso-Lotila, Joona",Opiskelijademarit,1,Opiskelijademarit,4
25,Heinäluoma,Ida Anniina,,O,Testiosoite 24,10023 Helsinki,etunimi.sukunimi.23@example.com,"Heinäluoma, Ida",Opiskelijademarit,1,Opiskelijademarit,5
26,Häkkinen,Anssi Ilari,,B,Testiosoite 25,10024 Helsinki,etunimi.sukunimi.24@example.com,"Häkkinen, Anssi",Opiskelijademarit,1,Opiskelijademarit,6
27,Häkkinen,Juha Petteri,,T,Testiosoite 26,10025 Helsinki,etunimi.sukunimi.25@example.com,"Häkkinen, Juha",Opiskelijademarit,1,Opiskelijademarit,7
28,Häkkinen,Satu-Maria,,L,Testiosoite 27,10026 Helsinki,etunimi.sukunimi.26@example.com,"Häkkinen, Satu-Maria",Opiskelijademarit,1,Opiskelijademarit,8
29,Hytti,Simo Antti Juhani,,MM,Testiosoite 28,10027 Helsinki,etunimi.sukunimi.27@example.com,"Hytti, Antti",Opiskelijademarit,1,Opiskelijademarit,9
30,Jalava,Tuomas Joonatan,,K,Testiosoite 29,10028 Helsinki,etunimi.sukunimi.28@example.com,"Jalava, Tuomas",Opiskelijademarit,1,Opiskelijademarit,10
31,Juntumaa,Inari Julia,,E,Testiosoite 30,10029 Helsinki,etunimi.sukunimi.29@example.com,"Juntumaa, Inari",Opiskelijademarit,1,Opiskelijademarit,11
32,Kammonen,Veli Viljami Matias,,H,Testiosoite 31,10030 Helsinki,etunimi.sukunimi.30@example.com,"Kammonen, Viljami",Opiskelijademarit,1,Opiskelijademarit,12
33,Korkeela,Tiina Tytti Unelma,,ML,Testiosoite 32,10031 Helsinki,etunimi.sukunimi.31@example.com,"Korkeela, Tiina",Opiskelijademarit,1,Opiskelijademarit,13
34,Kuisma,Jukka Kusti,,V,Testiosoite 33,10032 Helsinki,etunimi.sukunimi.32@example.com,"Kuisma, Jukka",Opiskelijademarit,1,Opiskelijademarit,14
35,Laukia,Joonas Patrik Antero,,O,Testiosoite 34,10033 Helsinki,etunimi.sukunimi.33@example.com,"Laukia, Joonas",Opiskelijademarit,1,Opiskelijademarit,15
36,Lehmijoki,Anna Marja,,B,Testiosoite 35,10034 Helsinki,etunimi.sukunimi.34@example.com,"Lehmijoki, Marja",Opiskelijademarit,1,Opiskelijademarit,16
37,Lipponen,Päivi Elisa,,T,Testiosoite 36,10035 Helsinki,etunimi.sukunimi.35@example.com,"Lipponen, Elisa",Opiskelijademarit,1,Opiskelijademarit,17
38,Lähdesmäki,Sini Pauliina,,L,Testiosoite 37,10036 Helsinki,etunimi.sukunimi.36@example.com,"Lähdesmäki, Sini",Opiskelijademarit,1,Opiskelijademarit,18
39,Meltti,Sonia Margot,,MM,Testiosoite 38,10037 Helsinki,etunimi.sukunimi.37@example.com,"Meltti, Sonia",Opiskelijademarit,1,Opiskelijademarit,19
40,Muona,Marianne Kristiina,,K,Testiosoite 39,10038 Helsinki,etunimi.sukunimi.38@example.com,"Muona, Marianne",Opiskelijademarit,1,Opiskelijademarit,20
41,Niemi,Matti Nestori,,E,Testiosoite 40,10039 Helsinki,etunimi.sukunimi.39@example.com,"Niemi, Matti",Opiskelijademarit,1,Opiskelijademarit,21
42,Ortiz-Nieminen,Oscar Antonio,,H,Testiosoite 41,10040 Helsinki,etunimi.sukunimi.40@example.com,"Ortiz-Nieminen, Oscar",Opiskelijademarit,1,Opiskelijademarit,22
43,Papunen,Erkki Tapani,,ML,Testiosoite 42,10041 Helsinki,etunimi.sukunimi.41@example.com,"Papunen, Erkki",Opiskelijademarit,1,Opiskelijademarit,23
44,Penny,Kaisa Emilia,,V,Testiosoite 43,10042 Helsinki,etunimi.sukunimi.42@example.com,"Penny, Kaisa",Opiskelijademarit,1,Opiskelijademarit,24
45,Sauli,Mikko Juhani,,O,Testiosoite 44,10043 Helsinki,etunimi.sukunimi.43@example.com,"Sauli, Mikko",Opiskelijademarit,1,Opiskelijademarit,25
46,Selinummi,Elisa Josefiina,,B,Testiosoite 45,10044 Helsinki,etunimi.sukunimi.44@example.com,"Selinummi, Elisa",Opiskelijademarit,1,Opiskelijademarit,26
47,Sihto,Ville Matti Hjalmat,,T,Testiosoite 46,10045 Helsinki,etunimi.sukunimi.45@example.com,"Sihto, Ville",Opiskelijademarit,1,Opiskelijademarit,27
48,Tuominen,Pekka Kalervo Johannes,,L,Testiosoite 47,10046 Helsinki,etunimi.sukunimi.46@example.com,"Tuominen, Pekka",Opiskelijademarit,1,Opiskelijademarit,28
49,Vaara,Piia Liisa Marianne,,MM,Testiosoite 48,10047 Helsinki,etunimi.sukunimi.47@example.com,"Vaara, Piia",Opiskelijademarit,1,Opiskelijademarit,29
50,Välimäki,Heta Misteli,,K,Testiosoite 49,10048 Helsinki,etunimi.sukunimi.48@example.com,"Välimäki, Heta",Opiskelijademarit,1,Opiskelijademarit,30
51,Wäänänen,Matti Lauri Oskari,,E,Testiosoite 50,10049 Helsinki,etunimi.sukunimi.49@example.com,"Wäänänen, Oskari",Opiskelijademarit,1,Opiskelijademarit,31
52,Ylianttila,Anu Pauliina,,H,Testiosoite 51,10050 Helsinki,etunimi.sukunimi.50@example.com,"Ylianttila, Anu",Opiskelijademarit,1,Opiskelijademarit,32
53,Aalto,Maria Josefina,,ML,Testiosoite 52,10051 Helsinki,etunimi.sukunimi.51@example.com,"Aalto, Maria",Pelastusrengas,1,Kokoomusopiskelijat 1,1
54,Ahlman,Lotta Emilia,,V,Testiosoite 53,10052 Helsinki,etunimi.sukunimi.52@example.com,"Ahlman, Lotta",Pelastusrengas,1,Kokoomusopiskelijat 1,2
55,Ahonen,Antti Juhani,,O,Testiosoite 54,10053 Helsinki,etunimi.sukunimi.53@example.com,"Ahonen, Antti Juhani",Pelastusrengas,1,Kokoomusopiskelijat 1,3
56,Artjoki,Kaarlo Emil Artturi,,B,Testiosoite 55,10054 Helsinki,etunimi.sukunimi.54@example.com,"Artjoki, Emil ",Pelastusrengas,1,Kokoomusopiskelijat 1,4
57,Auvinen,Tuomas Aleksanteri Villenpoika,,T,Testiosoite 56,10055 Helsinki,etunimi.sukunimi.55@example.com,"Auvinen, Tuomas",Pelastusrengas,1,Kokoomusopiskelijat 1,5
58,Brand,Thomas Leo,,L,Testiosoite 57,10056 Helsinki,etunimi.sukunimi.56@example.com,"Brand, Thomas",Pelastusrengas,1,Kokoomusopiskelijat 1,6
59,Erämaja,Kari Markku Elias,,MM,Testiosoite 58,10057 Helsinki,etunimi.sukunimi.57@example.com,"Erämaja, Elias",Pelastusrengas,1,Kokoomusopiskelijat 1,7
60,Fils,Helen Henrika,,K,Testiosoite 59,10058 Helsinki,etunimi.sukunimi.58@example.com,"Fils, Helen",Pelastusrengas,1,Kokoomusopiskelijat 1,8
61,Freyberg,Carl Henrik Ferdinand,,E,Testiosoite 60,10059 Helsinki,etunimi.sukunimi.59@example.com,"Freyberg, Carl",Pelastusrengas,1,Kokoomusopiskelijat 1,9
62,Haapala,Johanna Elisa,,H,Testiosoite 61,10060 Helsinki,etunimi.sukunimi.60@example.com,"Haapala, Johanna",Pelastusrengas,1,Kokoomusopiskelijat 1,10
63,Haapalehto,Eero Samuli,,ML,Testiosoite 62,10061 Helsinki,etunimi.sukunimi.61@example.com,"Haapalehto, Eero",Pelastusrengas,1,Kokoomusopiskelijat 1,11
64,Hietanen,Ville Ilmari,,V,Testiosoite 63,10062 Helsinki,etunimi.sukunimi.62@example.com,"Hietanen, Ville I.",Pelastusrengas,1,Kokoomusopiskelijat 1,12
65,Holopainen,Lasse,,O,Testiosoite 64,10063 Helsinki,etunimi.sukunimi.63@example.com,"Holopainen, Lasse",Pelastusrengas,1,Kokoomusopiskelijat 1,13
66,Häkkänen,Antti Edvard,,B,Testiosoite 65,10064 Helsinki,etunimi.sukunimi.64@example.com,"Häkkänen, Antti",Pelastusrengas,1,Kokoomusopiskelijat 1,14
67,Hämäläinen,Harri Veikko Tapani,,T,Testiosoite 66,10065 Helsinki,etunimi.sukunimi.65@example.com,"Hämäläinen, Harri",Pelastusrengas,1,Kokoomusopiskelijat 1,15
68,Hämäläinen,Jani Antero,,L,Testiosoite 67,10066 Helsinki,etunimi.sukunimi.66@example.com,"Hämäläinen, Jani",Pelastusrengas,1,Kokoomusopiskelijat 1,16
69,Hämäläinen,Maisa-Leena Maria,,MM,Testiosoite 68,10067 Helsinki,etunimi.sukunimi.67@example.com,"Hämäläinen, Maisa",Pelastusrengas,1,Kokoomusopiskelijat 1,17
70,Hämäläinen,Tuukka Santeri,,K,Testiosoite 69,10068 Helsinki,etunimi.sukunimi.68@example.com,"Hämäläinen, Tuukka",Pelastusrengas,1,Kokoomusopiskelijat 1,18
71,Härkönen,Miika Juhani,,E,Testiosoite 70,10069 Helsinki,etunimi.sukunimi.69@example.com,"Härkönen, Miika 'Härkönen'",Pelastusrengas,1,Kokoomusopiskelijat 1,19
72,Josefsson,Kim Henrik,,H,Testiosoite 71,10070 Helsinki,etunimi.sukunimi.70@example.com,"Josefsson, Kim",Pelastusrengas,1,Kokoomusopiskelijat 1,20
73,Juurinen,Paula-Maria Päivikki,,ML,Testiosoite 72,10071 Helsinki,etunimi.sukunimi.71@example.com,"Juurinen, Paula",Pelastusrengas,1,Kokoomusopiskelijat 1,21
74,Jäntti,Maija Elina,,V,Testiosoite 73,10072 Helsinki,etunimi.sukunimi.72@example.com,"Jäntti, Maija",Pelastusrengas,1,Kokoomusopiskelijat 1,22
75,Kainulainen,Toni Juhani,,O,Testiosoite 74,10073 Helsinki,etunimi.sukunimi.73@example.com,"Kainulainen, Toni",Pelastusrengas,1,Kokoomusopiskelijat 1,23
76,Kaksonen,Kai-Verneri,,B,Testiosoite 75,10074 Helsinki,etunimi.sukunimi.74@example.com,"Kaksonen, Kai",Pelastusrengas,1,Kokoomusopiskelijat 1,24
77,Kangas,Tanja Marita,,T,Testiosoite 76,10075 Helsinki,etunimi.sukunimi.75@example.com,"Kangas, Tanja",Pelastusrengas,1,Kokoomusopiskelijat 1,25
78,Karppinen,Henriikka Vilhelmiina,,L,Testiosoite 77,10076 Helsinki,etunimi.sukunimi.76@example.com,"Karppinen, Henriikka",Pelastusrengas,1,Kokoomusopiskelijat 1,26
79,Keriö,Annika Emilia,,MM,Testiosoite 78,10077 Helsinki,etunimi.sukunimi.77@example.com,"Keriö, Annika",Pelastusrengas,1,Kokoomusopiskelijat 1,27
80,Koivunen,Anna Emilia,,K,Testiosoite 79,10078 Helsinki,etunimi.sukunimi.78@example.com,"Koivunen, Anna",Pelastusrengas,1,Kokoomusopiskelijat 1,28
81,Kostamo,Lassi Juhani,,E,Testiosoite 80,10079 Helsinki,etunimi.sukunimi.79@example.com,"Kostamo, Lassi",Pelastusrengas,1,Kokoomusopiskelijat 1,29
82,Kozlov,Margarita,,H,Testiosoite 81,10080 Helsinki,etunimi.sukunimi.80@example.com,"Kozlov, Margarita",Pelastusrengas,1,Kokoomusopiskelijat 1,30
83,Kransman,Alex Peter,,ML,Testiosoite 82,10081 Helsinki,etunimi.sukunimi.81@example.com,"Kransman, Alex",Pelastusrengas,1,Kokoomusopiskelijat 1,31
84,Kuitunen,Anita Birgitta,,V,Testiosoite 83,10082 Helsinki,etunimi.sukunimi.82@example.com,"Kuitunen, Anita",Pelastusrengas,1,Kokoomusopiskelijat 1,32
85,Kuusivuori,Jenni Ilona,,O,Testiosoite 84,10083 Helsinki,etunimi.sukunimi.83@example.com,"Kuusivuori, Jenni",Pelastusrengas,1,Kokoomusopiskelijat 1,33
86,Kymäläinen,Seppo Johannes,,B,Testiosoite 85,10084 Helsinki,etunimi.sukunimi.84@example.com,"Kymäläinen, Seppo",Pelastusrengas,1,Kokoomusopiskelijat 1,34
87,Lahtinen,Marika Pauliina,,T,Testiosoite 86,10085 Helsinki,etunimi.sukunimi.85@example.com,"Lahtinen, Marika",Pelastusrengas,1,Kokoomusopiskelijat 1,35
88,Lehtiniemi,Tero Juhani Henrik,,L,Testiosoite 87,10086 Helsinki,etunimi.sukunimi.86@example.com,"Lehtiniemi, Tero",Pelastusrengas,1,Kokoomusopiskelijat 1,36
89,Lehtola,Jussi Samuli,,MM,Testiosoite 88,10087 Helsinki,etunimi.sukunimi.87@example.com,"Lehtola, Jussi",Pelastusrengas,1,Kokoomusopiskelijat 1,37
90,Leinonen,Pekka Sakari,,K,Testiosoite 89,10088 Helsinki,etunimi.sukunimi.88@example.com,"Leinonen, Pekka",Pelastusrengas,1,Kokoomusopiskelijat 1,38
91,Lindgren,Sampo Erkki Ilmari,,E,Testiosoite 90,10089 Helsinki,etunimi.sukunimi.89@example.com,"Lindgren, Sampo",Pelastusrengas,1,Kokoomusopiskelijat 1,40
92,Linnanvirta,Reima Jysky Petteri,,H,Testiosoite 91,10090 Helsinki,etunimi.sukunimi.90@example.com,"Linnanvirta, Reima",Pelastusrengas,1,Kokoomusopiskelijat 1,41
93,Lähdemäki,Irene Maria Eleonoora,,ML,Testiosoite 92,10091 Helsinki,etunimi.sukunimi.91@example.com,"Lähdemäki, Irene",Pelastusrengas,1,Kokoomusopiskelijat 1,42
94,Majaniemi,Milla Maria,,V,Testiosoite 93,10092 Helsinki,etunimi.sukunimi.92@example.com,"Majaniemi, Milla",Pelastusrengas,1,Kokoomusopiskelijat 1,43
95,Matilainen,Pirkko Helena,,O,Testiosoite 94,10093 Helsinki,etunimi.sukunimi.93@example.com,"Matilainen, Helena",Pelastusrengas,1,Kokoomusopiskelijat 1,44
96,Mattila,Matti,,B,Testiosoite 95,10094 Helsinki,etunimi.sukunimi.94@example.com,"Mattila, Matti",Pelastusrengas,1,Kokoomusopiskelijat 1,45
97,Meriläinen,Jaakko Pekka,,T,Testiosoite 96,10095 Helsinki,etunimi.sukunimi.95@example.com,"Meriläinen, Jaakko",Pelastusrengas,1,Kokoomusopiskelijat 1,46
98,Merisaari,Lotta Karoliina,,L,Testiosoite 97,10096 Helsinki,etunimi.sukunimi.96@example.com,"Merisaari, Lotta",Pelastusrengas,1,Kokoomusopiskelijat 1,47
99,Metelinen,Sami Petteri,,MM,Testiosoite 98,10097 Helsinki,etunimi.sukunimi.97@example.com,"Metelinen, Sami 'Johtaja'",Pelastusrengas,1,Kokoomusopiskelijat 1,48
100,Mustonen,Niilo Hjalmar,,K,Testiosoite 99,10098 Helsinki,etunimi.sukunimi.98@example.com,"Mustonen, Niilo",Pelastusrengas,1,Kokoomusopiskelijat 1,49
101,Mäkijärvi,Essi Marjaana,,E,Testiosoite 100,10099 Helsinki,etunimi.sukunimi.99@example.com,"Mäkijärvi, Essi",Pelastusrengas,1,Kokoomusopiskelijat 1,50
102,Mäkisalo,Aino,,H,Testiosoite 101,10100 Helsinki,etunimi.sukunimi.100@example.com,"Mäkisalo, Aino",Pelastusrengas,2,Kokoomusopiskelijat 2,1
103,Nisu,Timo Antti Juhani,,ML,Testiosoite 102,10101 Helsinki,etunimi.sukunimi.101@example.com,"Nisu, Timo",Pelastusrengas,2,Kokoomusopiskelijat 2,2
104,Nurmela,Tuomas Lauri Johannes,,V,Testiosoite 103,10102 Helsinki,etunimi.sukunimi.102@example.com,"Nurmela, Tuomas",Pelastusrengas,2,Kokoomusopiskelijat 2,3
105,Oldroyd,Daniel,,O,Testiosoite 104,10103 Helsinki,etunimi.sukunimi.103@example.com,"Oldroyd, Daniel",Pelastusrengas,2,Kokoomusopiskelijat 2,4
106,Olenius,Lasse Erik Mikael,,B,Testiosoite 105,10104 Helsinki,etunimi.sukunimi.104@example.com,"Olenius, Mikael",Pelastusrengas,2,Kokoomusopiskelijat 2,5
107,Pihlajamaa,Juhana Elia Gabriel,,T,Testiosoite 106,10105 Helsinki,etunimi.sukunimi.105@example.com,"Pihlajamaa, Juhana",Pelastusrengas,2,Kokoomusopiskelijat 2,6
108,Pirhonen,Laura Anna Monika,,L,Testiosoite 107,10106 Helsinki,etunimi.sukunimi.106@example.com,"Pirhonen, Laura",Pelastusrengas,2,Kokoomusopiskelijat 2,7
109,Pohjankoski,Pekka Sakari,,MM,Testiosoite 108,10107 Helsinki,etunimi.sukunimi.107@example.com,"Pohjankoski, Pekka",Pelastusrengas,2,Kokoomusopiskelijat 2,8
110,Poikonen,Jaakko Ilmari,,K,Testiosoite 109,10108 Helsinki,etunimi.sukunimi.108@example.com,"Poikonen, Jaakko",Pelastusrengas,2,Kokoomusopiskelijat 2,9
111,Poutiainen,Marika,,E,Testiosoite 110,10109 Helsinki,etunimi.sukunimi.109@example.com,"Poutiainen, Marika",Pelastusrengas,2,Kokoomusopiskelijat 2,10
112,Pulsa,Päivi Elina,,H,Testiosoite 111,10110 Helsinki,etunimi.sukunimi.110@example.com,"Pulsa, Päivi",Pelastusrengas,2,Kokoomusopiskelijat 2,11
113,Puukko,Sampo Sakari,,ML,Testiosoite 112,10111 Helsinki,etunimi.sukunimi.111@example.com,"Puukko, Sampo",Pelastusrengas,2,Kokoomusopiskelijat 2,12
114,Puuska,Markus Juhani,,V,Testiosoite 113,10112 Helsinki,etunimi.sukunimi.112@example.com,"Puuska, Markus",Pelastusrengas,2,Kokoomusopiskelijat 2,13
115,Rantakari,Pekka Osmo Kalevi,,O,Testiosoite 114,10113 Helsinki,etunimi.sukunimi.113@example.com,"Rantakari, Pekka",Pelastusrengas,2,Kokoomusopiskelijat 2,14
116,Rautala,Heikki Jalmari,,B,Testiosoite 115,10114 Helsinki,etunimi.sukunimi.114@example.com,"Rautala, Heikki",Pelastusrengas,2,Kokoomusopiskelijat 2,15
117,Rautiainen,Anni Aino Maria,,T,Testiosoite 116,10115 Helsinki,etunimi.sukunimi.115@example.com,"Rautiainen, Anni",Pelastusrengas,2,Kokoomusopiskelijat 2,16
118,Rintala,Pekka,,L,Testiosoite 117,10116 Helsinki,etunimi.sukunimi.116@example.com,"Rintala, Pekka",Pelastusrengas,2,Kokoomusopiskelijat 2,17
119,Rydman,Arno Risto Johannes,,MM,Testiosoite 118,10117 Helsinki,etunimi.sukunimi.117@example.com,"Rydman, Arno",Pelastusrengas,2,Kokoomusopiskelijat 2,18
120,Ryösä,Markku Olavi,,K,Testiosoite 119,10118 Helsinki,etunimi.sukunimi.118@example.com,"Ryösä, Markku",Pelastusrengas,2,Kokoomusopiskelijat 2,19
121,Sahamies,Laura Karoliina,,E,Testiosoite 120,10119 Helsinki,etunimi.sukunimi.119@example.com,"Sahamies, Laura",Pelastusrengas,2,Kokoomusopiskelijat 2,20
122,Sahamies,Miika Petteri,,H,Testiosoite 121,10120 Helsinki,etunimi.sukunimi.120@example.com,"Sahamies, Miika",Pelastusrengas,2,Kokoomusopiskelijat 2,21
123,Sahamies,Noora Eveliina,,ML,Testiosoite 122,10121 Helsinki,etunimi.sukunimi.121@example.com,"Sahamies, Noora",Pelastusrengas,2,Kokoomusopiskelijat 2,22
124,Seikkula,Jani Artturi,,V,Testiosoite 123,10122 Helsinki,etunimi.sukunimi.122@example.com,"Seikkula, Jani",Pelastusrengas,2,Kokoomusopiskelijat 2,23
125,Siekkinen,Elisa Irina,,O,Testiosoite 124,10123 Helsinki,etunimi.sukunimi.123@example.com,"Siekkinen, Elisa",Pelastusrengas,2,Kokoomusopiskelijat 2,24
126,Siltanen,Aleksi Tapio,,B,Testiosoite 125,10124 Helsinki,etunimi.sukunimi.124@example.com,"Siltanen, Aleksi",Pelastusrengas,2,Kokoomusopiskelijat 2,25
127,Silvonen,Anne Pauliina,,T,Testiosoite 126,10125 Helsinki,etunimi.sukunimi.125@example.com,"Silvonen, Pauliina ",Pelastusrengas,2,Kokoomusopiskelijat 2,26
128,Suomela,Iida-Liina Timontytär,,L,Testiosoite 127,10126 Helsinki,etunimi.sukunimi.126@example.com,"Suomela, Iida ",Pelastusrengas,2,Kokoomusopiskelijat 2,27
129,Suominen,Osmo Matti Ensio,,MM,Testiosoite 128,10127 Helsinki,etunimi.sukunimi.127@example.com,"Suominen, Osmo",Pelastusrengas,2,Kokoomusopiskelijat 2,28
130,Tarkkanen,Minni Emilia,,K,Testiosoite 129,10128 Helsinki,etunimi.sukunimi.128@example.com,"Tarkkanen, Minni",Pelastusrengas,2,Kokoomusopiskelijat 2,29
131,Tiainen,Jari Mikael,,E,Testiosoite 130,10129 Helsinki,etunimi.sukunimi.129@example.com,"Tiainen, Jari M. ",Pelastusrengas,2,Kokoomusopiskelijat 2,30
132,Tiensuu,Tuomas Mikael,,H,Testiosoite 131,10130 Helsinki,etunimi.sukunimi.130@example.com,"Tiensuu, Tuomas",Pelastusrengas,2,Kokoomusopiskelijat 2,31
133,Tirronen,Anna Elisa,,ML,Testiosoite 132,10131 Helsinki,etunimi.sukunimi.131@example.com,"Tirronen, Anna",Pelastusrengas,2,Kokoomusopiskelijat 2,32
134,Toepfer,Johannes Lauri Tuomaanpoika,,V,Testiosoite 133,10132 Helsinki,etunimi.sukunimi.132@example.com,"Toepfer, Johannes",Pelastusrengas,2,Kokoomusopiskelijat 2,33
135,Tulenheimo,Pauliina Aija Elisa,,O,Testiosoite 134,10133 Helsinki,etunimi.sukunimi.133@example.com,"Tulenheimo, Pauliina",Pelastusrengas,2,Kokoomusopiskelijat 2,34
136,Tuohiniemi,Jussi Tapaninpoika,,B,Testiosoite 135,10134 Helsinki,etunimi.sukunimi.134@example.com,"Tuohiniemi, Jussi",Pelastusrengas,2,Kokoomusopiskelijat 2,35
137,Tähtinen,Mikko Ilmari,,T,Testiosoite 136,10135 Helsinki,etunimi.sukunimi.135@example.com,"Tähtinen, Mikko",Pelastusrengas,2,Kokoomusopiskelijat 2,36
138,Utti-Lankinen,Katja Kristiina,,L,Testiosoite 137,10136 Helsinki,etunimi.sukunimi.136@example.com,"Utti-Lankinen, Katja",Pelastusrengas,2,Kokoomusopiskelijat 2,37
139,Uuspelto,Vesa Pekka Sakari,,MM,Testiosoite 138,10137 Helsinki,etunimi.sukunimi.137@example.com,"Uuspelto, Vesa",Pelastusrengas,2,Kokoomusopiskelijat 2,38
140,Vainio,Oona-Karita,,K,Testiosoite 139,10138 Helsinki,etunimi.sukunimi.138@example.com,"Vainio, Oona ",Pelastusrengas,2,Kokoomusopiskelijat 2,39
141,Vasaramäki,Ville Sakari,,E,Testiosoite 140,10139 Helsinki,etunimi.sukunimi.139@example.com,"Vasaramäki, Ville",Pelastusrengas,2,Kokoomusopiskelijat 2,40
142,Vedenpää,Ruut Heljä Marita,,H,Testiosoite 141,10140 Helsinki,etunimi.sukunimi.140@example.com,"Vedenpää, Ruut",Pelastusrengas,2,Kokoomusopiskelijat 2,41
143,Viholainen,Antti Timo Tapani,,ML,Testiosoite 142,10141 Helsinki,etunimi.sukunimi.141@example.com,"Viholainen, Antti",Pelastusrengas,2,Kokoomusopiskelijat 2,42
144,Viitamäki,Pertti Mikael,,V,Testiosoite 143,10142 Helsinki,etunimi.sukunimi.142@example.com,"Viitamäki, Pertti",Pelastusrengas,2,Kokoomusopiskelijat 2,43
145,Viljamaa,Maija Matilda,,O,Testiosoite 144,10143 Helsinki,etunimi.sukunimi.143@example.com,"Viljamaa, Maija",Pelastusrengas,2,Kokoomusopiskelijat 2,44
146,Virén,Hanna Pauliina,,B,Testiosoite 145,10144 Helsinki,etunimi.sukunimi.144@example.com,"Virén, Hanna",Pelastusrengas,2,Kokoomusopiskelijat 2,45
147,Vuori,Timo Tapani,,T,Testiosoite 146,10145 Helsinki,etunimi.sukunimi.145@example.com,"Vuori, Timo",Pelastusrengas,2,Kokoomusopiskelijat 2,46
